Trddt,Clsprc
1999/11/10,3.55
1999/11/11,3.54
1999/11/12,3.59
1999/11/15,3.55
1999/11/16,3.39
1999/11/17,3.48
1999/11/18,3.46
1999/11/19,3.44
1999/11/22,3.38
1999/11/23,3.38
1999/11/24,3.38
1999/11/25,3.38
1999/11/26,3.38
1999/11/29,3.37
1999/11/30,3.38
1999/12/1,3.4
1999/12/2,3.36
1999/12/3,3.37
1999/12/6,3.28
1999/12/7,3.27
1999/12/8,3.26
1999/12/9,3.24
1999/12/10,3.32
1999/12/13,3.31
1999/12/14,3.32
1999/12/15,3.38
1999/12/16,3.32
1999/12/17,3.27
1999/12/21,3.23
1999/12/22,3.22
1999/12/23,3.17
1999/12/24,3.16
1999/12/27,3.14
1999/12/28,3.15
1999/12/29,3.15
1999/12/30,3.16
2000/1/4,3.27
2000/1/5,3.23
2000/1/6,3.32
2000/1/7,3.44
2000/1/10,3.48
2000/1/11,3.35
2000/1/12,3.21
2000/1/13,3.18
2000/1/14,3.09
2000/1/17,3.12
2000/1/18,3.09
2000/1/19,3.09
2000/1/20,3.13
2000/1/21,3.1
2000/1/24,3.09
2000/1/25,3.14
2000/1/26,3.12
2000/1/27,3.14
2000/1/28,3.2
2000/2/14,3.48
2000/2/15,3.28
2000/2/16,3.22
2000/2/17,3.18
2000/2/18,3.16
2000/2/21,3.3
2000/2/22,3.16
2000/2/23,3.15
2000/2/24,3.17
2000/2/25,3.15
2000/2/28,3.21
2000/2/29,3.22
2000/3/1,3.3
2000/3/2,3.25
2000/3/3,3.32
2000/3/6,3.27
2000/3/7,3.3
2000/3/8,3.29
2000/3/9,3.38
2000/3/10,3.28
2000/3/13,3.26
2000/3/14,3.25
2000/3/15,3.21
2000/3/16,3.13
2000/3/17,3.18
2000/3/20,3.2
2000/3/21,3.2
2000/3/22,3.24
2000/3/23,3.26
2000/3/24,3.26
2000/3/27,3.31
2000/3/28,3.26
2000/3/29,3.22
2000/3/30,3.25
2000/3/31,3.22
2000/4/3,3.23
2000/4/4,3.18
2000/4/5,3.22
2000/4/6,3.24
2000/4/7,3.29
2000/4/10,3.27
2000/4/11,3.27
2000/4/12,3.25
2000/4/13,3.27
2000/4/14,3.3
2000/4/17,3.24
2000/4/18,3.24
2000/4/19,3.24
2000/4/20,3.24
2000/4/21,3.22
2000/4/24,3.17
2000/4/25,3.18
2000/4/26,3.2
2000/4/27,3.16
2000/4/28,3.2
2000/5/9,3.12
2000/5/10,3.07
2000/5/11,3.06
2000/5/12,3.06
2000/5/15,2.95
2000/5/16,2.97
2000/5/17,2.96
2000/5/18,2.97
2000/5/19,3
2000/5/22,3.03
2000/5/23,3
2000/5/24,3.02
2000/5/25,3.11
2000/5/26,3.06
2000/5/29,3.04
2000/5/30,2.99
2000/5/31,3
2000/6/1,3
2000/6/2,3.03
2000/6/5,3.02
2000/6/6,3.05
2000/6/7,3.06
2000/6/8,3.06
2000/6/9,3.01
2000/6/12,3.02
2000/6/13,3.05
2000/6/14,3.09
2000/6/15,3.11
2000/6/16,3.07
2000/6/19,3.04
2000/6/20,3.02
2000/6/21,3.03
2000/6/22,3.01
2000/6/23,3.01
2000/6/26,3.01
2000/6/27,2.99
2000/6/28,2.99
2000/6/29,2.98
2000/6/30,3.01
2000/7/3,2.97
2000/7/4,2.97
2000/7/5,2.97
2000/7/6,2.97
2000/7/7,2.99
2000/7/10,2.97
2000/7/11,3.02
2000/7/12,3.04
2000/7/13,3.02
2000/7/14,3.04
2000/7/17,3.01
2000/7/18,3.01
2000/7/19,3.05
2000/7/20,3.02
2000/7/21,3.03
2000/7/24,3
2000/7/25,3.03
2000/7/26,3.01
2000/7/27,3.16
2000/7/28,3.09
2000/7/31,3.1
2000/8/1,3.1
2000/8/2,3.07
2000/8/3,3.08
2000/8/4,3.07
2000/8/7,3.07
2000/8/8,3.08
2000/8/9,3.1
2000/8/10,3.08
2000/8/11,3.08
2000/8/14,3.1
2000/8/15,3.1
2000/8/16,3.11
2000/8/17,3.11
2000/8/18,3.1
2000/8/21,3.09
2000/8/22,3.06
